title,tmdb_id,genres,languages,production_countries,release_date,overview
The Tomorrow Man,565391,"['Drama', 'Romance']",['English'],['United States of America'],2019-05-22,"Ed Hemsler spends his life preparing for a disaster that may never come. Ronnie Meisner spends her life shopping for things she may never use. In a small town somewhere in America, these two people will try to find love while trying not to get lost in each other’s stuff."
Asako I & II,487850,"['Drama', 'Romance']","['Japanese', 'English']",['Japan'],2018-09-01,"College student Asako falls in love at first sight with Baku after meeting at a photography exhibit. Romance sparks between the two but doesn't last long when Baku suddenly disappears from her life. Two years later, she spots a man that bears a striking resemblance to him. Even though it is only his physical similarities to Baku that attracted her to him, she doesn't say so and starts dating the soft-spoken young man called Ryohei."
The Sun Is Also a Star,508791,"['Romance', 'Drama']",['English'],['United States of America'],2019-05-16,"Two young New Yorkers begin to fall in love over the course of a single day, as a series of potentially life-altering meetings loom over their heads - hers concerning her family’s deportation to Jamaica, and his concerning an education at Dartmouth."
Shéhérazade,518671,"['Drama', 'Thriller', 'Romance']",['French'],['France'],2018-09-05,"Zachary, 17 years old, gets out of jail. Rejected by his mother, he hangs out in the mean streets of Marseille. He falls in love with Shéhérazade, a young prostitute of whom he becomes the pimp without realizing it..."
Long Shot,459992,"['Comedy', 'Romance']","['French', 'English', 'Swedish']",['United States of America'],2019-05-02,"Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter — much to the dismay of her trusted advisers."
Clara,466532,"['Science Fiction', 'Drama', 'Romance']","['Spanish', 'English']",['Canada'],2018-11-30,An astronomer becomes obsessed with searching the cosmos for signs of life beyond Earth which leads to a shocking discovery.
Kalank,556271,"['Drama', 'Romance']",['Hindi'],['India'],2019-04-17,"Set in 1945, in Pre-Independent India, the elite, opulent and solemn world of the Chaudhry family, and the wild, mysterious and musical underbelly of the town, Hira Mandi, clash when Roop Chaudhry encounters Zafar, a daredevil from Hira Mandi, unleashing deep-buried truths, secrets of betrayal and affairs that threaten to bring both worlds crashing down."
Rafiki,517987,"['Drama', 'Romance']","['Swahili', 'English']","['Kenya', 'South Africa']",2018-09-26,"Kena and Ziki long for something more. Despite the political rivalry between their families, the girls resist and remain close friends, supporting each other to pursue their dreams in a conservative society. When love blossoms between them, the two girls will be forced to choose between happiness and safety."
Diane,510034,['Drama'],['English'],['United States of America'],2019-03-28,"Diane is a devoted friend and caretaker, particularly to her drug-addicted son. But as those around her begin to drift away in the last quarter of her life, she is left to reckon with past choices and long-dormant memories."
Five Feet Apart,527641,"['Romance', 'Drama']","['English', 'French', 'Spanish']",['United States of America'],2019-03-14,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction."
